MSV,Class,Subject
19003736,"['BIO2044', 'BIO2045 2', 'BIO2092', 'BIO2201 4', 'BIO2206 2', 'BIO2220 4', 'BIO2223 2', 'BIO2223 TNS', 'BIO2224 TNS', 'BIO2400 1CLCCNS', 'BIO2400 2CLCCNS', 'BIO3252 1']","['BIO2224', 'BIO2044', 'BIO2220', 'BIO2045', 'BIO2206', 'BIO2092', 'BIO2201', 'BIO2400', 'BIO2223', 'BIO3252']"
19003756,"['CHE2030E 1CLCHD', 'CHE3283 1CLCHD', 'MAT1101 14']","['CHE3283', 'CHE2030E', 'MAT1101']"
19003767,"['MAT2411E 1CLCMTKHTT', 'MAT3373E 1CLCMTKHTT', 'MAT3500 3CLCMTKHTT', 'MAT3533 2CLCMTKHTT', 'MAT3562E 1CLCMTKHTT']","['MAT3373E', 'MAT3533', 'MAT2411E', 'MAT3500', 'MAT3562E']"
19003782,"['BIO2089 TNS', 'BIO2504 TNS', 'BIO2514 1CLCCNS', 'BIO2514 2CLCCNS', 'BIO3257 TNS', 'BIO3377 TNS', 'BIO3701 TNS']","['BIO2089', 'BIO2504', 'BIO2514', 'BIO3377', 'BIO3257', 'BIO3701']"
19003785,"['CHE1075', 'CHE3045', 'CHE3253', 'CHE3254', 'HIS1001 5', 'MAT2034', 'MAT2403 2', 'MAT2502 2', 'MAT3373']","['CHE3254', 'CHE3253', 'CHE1075', 'CHE3045', 'HIS1001', 'MAT2502', 'MAT2034', 'MAT3373', 'MAT2403']"
19003794,"['PHY2064 TNL', 'PHY3346 TNL', 'PHY3355', 'PHY3355 2CTĐB', 'PHY3367', 'PHY3428', 'PHY3503 1', 'PHY3503 2', 'PHY3503 3', 'PHY3506', 'PHY3506E QTL', 'PHY3507 1', 'PHY3507 10', 'PHY3507 11', 'PHY3507 15', 'PHY3507 16', 'PHY3507 17QTL', 'PHY3507 2', 'PHY3507 4', 'PHY3507 6', 'PHY3507 7', 'PHY3507 8', 'PHY3507 9', 'PHY3508 4TNL', 'PHY3608 2TNL']","['PHY3367', 'PHY3608', 'PHY3506', 'PHY3503', 'PHY3506E', 'PHY2064', 'PHY3508', 'PHY3507', 'PHY3346', 'PHY3428', 'PHY3355']"
19003798,"['PHY2064E QTL', 'PHY2166 TNL', 'PHY2306E QTL', 'PHY2307 1', 'PHY2307 10', 'PHY2307 12 QTL', 'PHY2307 13TNL', 'PHY2307 2', 'PHY2307 3', 'PHY2307 4', 'PHY2307 5', 'PHY2307 6', 'PHY2307 7', 'PHY2307 8', 'PHY2307 9', 'PHY2308 QTL', 'PHY2309 1', 'PHY2309 2', 'PHY2309 3', 'PHY2309 4', 'PHY2309 5', 'PHY2309 6', 'PHY2309 7', 'PHY2309 8TNL', 'PHY3508E QTL', 'PHY3509 TNL', 'PHY3603 TNL', 'PHY3608E QTL']","['PHY3603', 'PHY2306E', 'PHY2309', 'PHY2064E', 'PHY3608E', 'PHY2307', 'PHY3509', 'PHY2166', 'PHY3508E', 'PHY2308']"
19003801,"['BIO2127 1CLCCNS', 'BIO2215E 2CLCCNS', 'BIO2516 1CLCCNS', 'BIO2800 2CLCCNS', 'BIO3302E 2CLCCNS', 'BIO3802E 1CLCCNS']","['BIO2516', 'BIO2127', 'BIO3802E', 'BIO2215E', 'BIO3302E', 'BIO2800']"
19003806,"['CHE2121 TNH', 'CHE2130 TNH', 'CHE2131 TNH', 'CHE2133 1TNH', 'CHE2133 2TTH', 'MAT3373', 'MAT3539 2', 'MAT3544 1', 'MAT3544 2']","['CHE2131', 'CHE2130', 'CHE2121', 'MAT3544', 'MAT3539', 'CHE2133', 'MAT3373']"
19003810,"['GEO2110', 'GEO3224', 'GEO3227', 'GEO3230', 'MAT1091 2']","['GEO2110', 'GEO3230', 'MAT1091', 'GEO3224', 'GEO3227']"
19003811,"['CHE1048', 'CHE1084', 'CHE1085 1', 'CHE1085 2', 'CHE1085 3']","['CHE1084', 'CHE1048', 'CHE1085']"
19003863,"['MAT2411E 1CLCMTKHTT', 'MAT3373E 2CLCMTKHTT', 'MAT3500 4CLCMTKHTT', 'MAT3504 1', 'MAT3504 2', 'MAT3505 1', 'MAT3505 2', 'MAT3505 3CLCMTKHTT', 'MAT3505 4CLCMTKHTT', 'MAT3505 5CLCMTKHTT', 'MAT3505 6CLCMTKHTT', 'MAT3533']","['MAT3504', 'MAT3373E', 'MAT2411E', 'MAT3533', 'MAT3500', 'MAT3505']"
19003874,"['BIO2127 1CLCCNS', 'BIO2215E 2CLCCNS', 'BIO2516 1CLCCNS', 'BIO2800 2CLCCNS', 'BIO3302E 2CLCCNS', 'BIO3802E 1CLCCNS', 'HIS1001 12']","['BIO2516', 'BIO2127', 'BIO3802E', 'BIO2215E', 'HIS1001', 'BIO3302E', 'BIO2800']"
19003895,"['GEO2304', 'GEO2313', 'GEO3143', 'GEO3157', 'GEO3208', 'GEO3360', 'MAT1101 10', 'PHI1002 8', 'PHY1103 1']","['GEO2304', 'PHY1103', 'GEO2313', 'GEO3143', 'MAT1101', 'GEO3208', 'GEO3157', 'PHI1002', 'GEO3360']"
19003897,"['EVS3158', 'EVS3159 CLCCNKTMT', 'EVS3232', 'EVS3240 1', 'EVS3240 2', 'EVS3240 3', 'EVS3240 4', 'EVS3240 5', 'EVS3244 2', 'EVS3287', 'EVS3331 1', 'EVS3331 2', 'EVS4073 1']","['EVS3159', 'EVS4073', 'EVS3244', 'EVS3240', 'EVS3232', 'EVS3287', 'EVS3331', 'EVS3158']"
19003904,"['BIO2044', 'BIO2045 1', 'BIO2092', 'BIO2202 3', 'BIO3252 3', 'CHE1081 1', 'PHY1103 12']","['BIO2044', 'PHY1103', 'BIO2045', 'BIO2092', 'BIO2202', 'BIO3252', 'CHE1081']"
19003911,"['CHE1052', 'CHE1054 10', 'CHE1054 11', 'CHE1054 12', 'CHE1054 13', 'CHE1054 14', 'CHE1054 15', 'CHE1054 1CLCHD', 'CHE1054 2CLCHD', 'CHE1054 3CLCHD', 'CHE1054 4CLCHD', 'CHE1054 5CLCCNKTHH', 'CHE1054 9', 'CHE1075', 'CHE3045', 'CHE3253', 'CHE3254', 'HIS1001 9']","['CHE3254', 'CHE3253', 'CHE1075', 'CHE1052', 'CHE1054', 'CHE3045', 'HIS1001']"
19003916,"['MAT2306 2', 'MAT2311', 'MAT2407 1', 'MAT3306', 'MAT3347 1']","['MAT2311', 'MAT3347', 'MAT2306', 'MAT3306', 'MAT2407']"
19003918,"['BIO2089 TNS', 'BIO2504 TNS', 'BIO2514 1CLCCNS', 'BIO2514 2CLCCNS', 'BIO3257 TNS', 'BIO3377 TNS', 'BIO3701 TNS']","['BIO2089', 'BIO2504', 'BIO2514', 'BIO3377', 'BIO3257', 'BIO3701']"
19003951,"['BIO2044', 'BIO2045 1', 'BIO2092', 'BIO2201 2', 'BIO2202 2', 'BIO2206 2', 'BIO3252 3', 'MAT2411E 2CLCMTKHTT', 'MAT3373E 2CLCMTKHTT', 'MAT3533 3CLCMTKHTT', 'MAT3562E 1CLCMTKHTT', 'PHI1002 8', 'POL1001 12']","['BIO2044', 'MAT3373E', 'BIO2045', 'BIO2206', 'BIO2092', 'BIO2201', 'MAT2411E', 'MAT3533', 'MAT3562E', 'POL1001', 'BIO2202', 'BIO3252', 'PHI1002']"
19003966,"['PHY1113 5', 'PHY2302 3']","['PHY2302', 'PHY1113']"
19004004,"['BIO2127 2CLCCNS', 'BIO2215E 6CLCCNS', 'BIO2218 1', 'BIO2218 10CLCCNS', 'BIO2218 11CLCCNS', 'BIO2218 12CLCCNS', 'BIO2218 13CLCCNS', 'BIO2218 2', 'BIO2218 3', 'BIO2218 4', 'BIO2218 5', 'BIO2218 6', 'BIO2218 7', 'BIO2218 8CLCCNS', 'BIO2218 9CLCCNS', 'BIO2218E QTS', 'BIO2516 5CLCCNS', 'BIO2800 1CLCCNS', 'BIO3302E 6CLCCNS', 'BIO3802E 1CLCCNS']","['BIO2218', 'BIO2516', 'BIO2127', 'BIO2218E', 'BIO3802E', 'BIO2215E', 'BIO3302E', 'BIO2800']"
19004023,"['MAT2407 2', 'MAT3452 2']","['MAT2407', 'MAT3452']"
19004027,"['CHE2118E TTH', 'CHE2119 1TNH', 'CHE2119 2TTH', 'CHE2130E TTH', 'CHE2145E TTH', 'CHE2147E 1CLCHD', 'CHE2147E 2CLCHD', 'CHE2147E 3TTH', 'CHE3212 TTH', 'CHE3220 CTĐB', 'CHE3226 TTH', 'CHE3248 TNH', 'PHI1002 7']","['CHE2130E', 'CHE3212', 'CHE2147E', 'CHE3226', 'CHE2118E', 'CHE2145E', 'CHE3248', 'PHI1002', 'CHE2119', 'CHE3220']"
19004028,"['EVS2017', 'EVS2051', 'EVS2051E CLCCNKTMT', 'EVS2109', 'EVS3244 1', 'EVS3248', 'EVS3409', 'EVS3410', 'PHI1002 5', 'POL1001 2']","['EVS2017', 'EVS2051', 'EVS3244', 'EVS2109', 'POL1001', 'EVS3409', 'EVS3410', 'EVS3248', 'EVS2051E', 'PHI1002']"
19004045,"['BIO2127 2CLCCNS', 'BIO2215E 6CLCCNS', 'BIO2218 1', 'BIO2218 10CLCCNS', 'BIO2218 11CLCCNS', 'BIO2218 12CLCCNS', 'BIO2218 13CLCCNS', 'BIO2218 2', 'BIO2218 3', 'BIO2218 4', 'BIO2218 5', 'BIO2218 6', 'BIO2218 7', 'BIO2218 8CLCCNS', 'BIO2218 9CLCCNS', 'BIO2218E QTS', 'BIO2516 6CLCCNS', 'BIO2800 6CLCCNS', 'BIO3001', 'BIO3302E 6CLCCNS']","['BIO2218', 'BIO2516', 'BIO2127', 'BIO3001', 'BIO2218E', 'BIO2215E', 'BIO3302E', 'BIO2800']"
19004065,"['HIS1001 2', 'MAT3373', 'MAT3500 1']","['HIS1001', 'MAT3373', 'MAT3500']"
19004066,"['PHY3163', 'PHY3508 1', 'PHY3606', 'PHY3608']","['PHY3163', 'PHY3608', 'PHY3508', 'PHY3606']"
19004071,"['CHE1048', 'CHE2030E 2CLCHD', 'CHE2061 1CLCHD', 'CHE2061 2CLCHD', 'CHE2061 3CLCHD', 'CHE2061 4CLCHD', 'CHE2061 5CLCHD', 'CHE2102 CTĐB', 'CHE3283 2CLCHD', 'CHE3286 1', 'CHE3286 2', 'CHE3286 3CLCCNH', 'CHE3286 4CLCHD']","['CHE1048', 'CHE2030E', 'CHE2061', 'CHE3283', 'CHE3286', 'CHE2102']"
19004073,"['CHE1067 1CLCHD', 'CHE2030E 1CLCHD', 'CHE3283 1CLCHD']","['CHE3283', 'CHE2030E', 'CHE1067']"
19004085,"['CHE2130E TTH', 'CHE2145E TTH', 'CHE2147E 1CLCHD', 'CHE2147E 2CLCHD', 'CHE2147E 3TTH', 'CHE3212 TTH', 'CHE3220 CTĐB', 'CHE3226 TTH', 'CHE3248 TNH']","['CHE2130E', 'CHE3212', 'CHE2147E', 'CHE3226', 'CHE2145E', 'CHE3248', 'CHE3220']"
19004098,"['CHE1075', 'CHE3045', 'CHE3253', 'CHE3254']","['CHE3253', 'CHE3254', 'CHE1075', 'CHE3045']"
19004103,"['CHE1048', 'CHE1052 5CLCHD', 'CHE2030E 1CLCHD', 'CHE2114E 2CLCHD', 'CHE2115 1TNH', 'CHE2115 2TTH', 'CHE2116 TNH', 'CHE2116E TTH']","['CHE2115', 'CHE1048', 'CHE2030E', 'CHE1052', 'CHE2114E', 'CHE2116E', 'CHE2116']"
19004127,"['CHE1075E 1CLCHD', 'CHE2030E 1CLCHD', 'CHE3283 1CLCHD']","['CHE3283', 'CHE1075E', 'CHE2030E']"
19004128,"['BIO2044', 'BIO2045 2', 'BIO2204 3', 'BIO3252 1', 'CHE1080 4', 'PHI1002 6', 'PHY1103 5', 'POL1001 8']","['BIO2044', 'BIO2045', 'POL1001', 'PHI1002', 'BIO3252', 'PHY1103', 'BIO2204', 'CHE1080']"
19004130,"['CHE1075', 'CHE1084', 'CHE1085 1', 'CHE1085 2', 'CHE1085 3', 'CHE1090']","['CHE1084', 'CHE1090', 'CHE1075', 'CHE1085']"
19004137,"['BIO2088 2', 'BIO2201 1', 'BIO2220 1', 'BIO3302 4', 'BIO3303 1', 'BIO3304 3']","['BIO2220', 'BIO2201', 'BIO2088', 'BIO3304', 'BIO3302', 'BIO3303']"
19004146,"['BIO2044', 'BIO2045 1', 'BIO2092', 'BIO2201 2', 'BIO2202 2', 'BIO3252 1']","['BIO2044', 'BIO2045', 'BIO2092', 'BIO2201', 'BIO2202', 'BIO3252']"
19004159,"['BIO2127 2CLCCNS', 'BIO2215E 4CLCCNS', 'BIO2516 5CLCCNS', 'BIO2800 4CLCCNS', 'BIO3302E 4CLCCNS', 'BIO3802E 2CLCCNS', 'CHE1057 6CLCCNS', 'POL1001 7']","['BIO2516', 'BIO2127', 'POL1001', 'BIO3802E', 'CHE1057', 'BIO2215E', 'BIO3302E', 'BIO2800']"
19004162,"['MAT2034', 'MAT3373', 'MAT3452 1', 'MAT3525', 'MAT3532 1CLCMTKHTT', 'MAT3532 2CLCMTKHTT', 'MAT3532 3CLCMTKHTT', 'MAT3532 4CLCMTKHTT', 'PHI1002 5', 'POL1001 4']","['POL1001', 'MAT3525', 'PHI1002', 'MAT3452', 'MAT2034', 'MAT3532', 'MAT3373']"
19004179,"['BIO2405E QTS', 'BIO3227E QTS', 'BIO3245', 'BIO3246', 'BIO3252E QTS', 'BIO3370E QTS', 'BIO3372E QTS']","['BIO3246', 'BIO3252E', 'BIO3370E', 'BIO2405E', 'BIO3245', 'BIO3372E', 'BIO3227E']"
19004180,"['PHI1002 7', 'PHY3508 3', 'PHY3606', 'PHY3608']","['PHY3608', 'PHI1002', 'PHY3508', 'PHY3606']"
19004182,"['HIS1001 1', 'MAT2407 2', 'MAT3452 2', 'MAT3525', 'MAT3532 1CLCMTKHTT', 'MAT3532 2CLCMTKHTT', 'MAT3532 3CLCMTKHTT', 'MAT3532 4CLCMTKHTT', 'MAT3533']","['MAT3533', 'MAT3525', 'MAT2407', 'MAT3452', 'HIS1001', 'MAT3532']"
19004189,"['CHE1075', 'CHE3045', 'CHE3253', 'CHE3254']","['CHE3253', 'CHE3254', 'CHE1075', 'CHE3045']"
19004218,"['HMO2110', 'HMO3306', 'HMO3307', 'HMO3311', 'HMO3312', 'HMO3321', 'HMO3326']","['HMO3307', 'HMO3326', 'HMO2110', 'HMO3312', 'HMO3311', 'HMO3321', 'HMO3306']"
19004221,"['CHE1075', 'CHE1084', 'CHE1085 1', 'CHE1085 2', 'CHE1085 3', 'CHE2114']","['CHE1084', 'CHE1075', 'CHE2114', 'CHE1085']"
19004222,"['CHE1075', 'CHE1084', 'CHE1085 1', 'CHE1085 2', 'CHE1085 3', 'HIS1001 2']","['CHE1084', 'HIS1001', 'CHE1075', 'CHE1085']"
19004223,"['GEO2320 2', 'GEO3265', 'GEO3269', 'GEO3270', 'GEO3276', 'GEO3293', 'PHI1002 9', 'PHI1006 1', 'PHI1006 10', 'PHI1006 2', 'PHI1006 3', 'PHI1006 4', 'PHI1006 5', 'PHI1006 6', 'PHI1006 7', 'PHI1006 8', 'PHI1006 9', 'POL1001 2']","['PHI1006', 'GEO3276', 'GEO3270', 'GEO3265', 'POL1001', 'GEO3269', 'GEO3293', 'PHI1002', 'GEO2320']"
19004235,"['BIO2088 2', 'BIO2220 4', 'BIO2223 2', 'BIO2223 TNS', 'BIO2224 TNS', 'BIO2400 1CLCCNS', 'BIO2400 2CLCCNS', 'BIO3252 3', 'BIO3302 2', 'BIO3304 2']","['BIO2224', 'BIO2220', 'BIO2400', 'BIO2088', 'BIO3304', 'BIO3302', 'BIO2223', 'BIO3252']"
19004237,"['MAT2411E 1CLCMTKHTT', 'MAT3373E 1CLCMTKHTT', 'MAT3500 3CLCMTKHTT', 'MAT3562E 2CLCMTKHTT', 'MAT3563 CLCMTKHTT', 'MAT3565 CLCMTKHTT', 'MAT3567 CLCMTKHTT', 'MAT4070']","['MAT3567', 'MAT3373E', 'MAT2411E', 'MAT3500', 'MAT3562E', 'MAT4070', 'MAT3565', 'MAT3563']"
19004249,"['BIO2044', 'BIO2045 1', 'BIO2092', 'BIO2201 3', 'BIO2202 3', 'BIO2206 3', 'BIO2208 1', 'BIO3252 3']","['BIO2044', 'BIO2045', 'BIO2206', 'BIO2092', 'BIO2201', 'BIO2208', 'BIO2202', 'BIO3252']"
19004261,"['BIO2127 2CLCCNS', 'BIO2215E 5CLCCNS', 'BIO2516 4CLCCNS', 'BIO2800 5CLCCNS', 'BIO3302E 5CLCCNS', 'BIO3802E 2CLCCNS', 'MAT1091 3', 'PHI1002 1']","['BIO2516', 'BIO2127', 'MAT1091', 'BIO3802E', 'BIO2215E', 'BIO3302E', 'PHI1002', 'BIO2800']"
19004264,"['GLO3122', 'GLO3157 1', 'GLO3157 2', 'GLO3158', 'GLO3198', 'GLO3227', 'GLO3228', 'GLO3229', 'GLO3230', 'GLO4058', 'GLO4059']","['GLO4059', 'GLO3157', 'GLO3158', 'GLO3229', 'GLO3122', 'GLO3198', 'GLO3228', 'GLO3230', 'GLO4058', 'GLO3227']"
19004270,"['PHY2064E QTL', 'PHY2166 TNL', 'PHY2304E QTL', 'PHY2306E QTL', 'PHY2307 1', 'PHY2307 10', 'PHY2307 12 QTL', 'PHY2307 13TNL', 'PHY2307 2', 'PHY2307 3', 'PHY2307 4', 'PHY2307 5', 'PHY2307 6', 'PHY2307 7', 'PHY2307 8', 'PHY2307 9', 'PHY2308 QTL', 'PHY2309 1', 'PHY2309 2', 'PHY2309 3', 'PHY2309 4', 'PHY2309 5', 'PHY2309 6', 'PHY2309 7', 'PHY2309 8TNL', 'PHY3508E QTL', 'PHY3509 TNL', 'PHY3603 TNL', 'PHY3608E QTL']","['PHY3603', 'PHY2306E', 'PHY2309', 'PHY2064E', 'PHY3608E', 'PHY2307', 'PHY2304E', 'PHY3509', 'PHY2166', 'PHY3508E', 'PHY2308']"
19004278,"['CHE1080 1', 'GEO2320 2', 'GEO3265', 'GEO3269', 'GEO3270', 'GEO3276', 'GEO3293', 'GEO3305', 'PHI1002 2']","['GEO3305', 'GEO3276', 'GEO3270', 'GEO3265', 'CHE1080', 'GEO3269', 'GEO3293', 'PHI1002', 'GEO2320']"
19004284,"['GEO2304', 'GEO2313', 'GEO3143', 'GEO3157', 'GEO3208', 'GEO3360', 'MAT1091 7', 'MAT1101 11', 'PHY1103 1']","['GEO2304', 'PHY1103', 'GEO2313', 'GEO3143', 'MAT1091', 'MAT1101', 'GEO3208', 'GEO3157', 'GEO3360']"
19004285,"['EVS2017', 'EVS2051', 'EVS2051E CLCCNKTMT', 'EVS2109', 'EVS3244 1', 'EVS3409', 'EVS3410', 'EVS4071 6', 'MAT1101 7', 'POL1001 8']","['EVS2017', 'EVS2051', 'EVS3244', 'EVS2109', 'POL1001', 'EVS4071', 'EVS3409', 'EVS3410', 'MAT1101', 'EVS2051E']"
19004298,"['BIO2088 4', 'BIO2201 1', 'BIO2220 2', 'BIO3302 2', 'BIO3303 3', 'BIO3304 1']","['BIO2220', 'BIO2201', 'BIO2088', 'BIO3304', 'BIO3302', 'BIO3303']"
19004299,"['EVS2017', 'EVS2051', 'EVS2051E CLCCNKTMT', 'EVS2109', 'EVS3244 1', 'EVS3248', 'EVS3409', 'EVS3410', 'PHI1002 12']","['EVS2017', 'EVS2051', 'EVS3244', 'EVS2109', 'EVS3409', 'EVS3410', 'EVS3248', 'EVS2051E', 'PHI1002']"
19004304,"['CHE1052', 'CHE1054 10', 'CHE1054 11', 'CHE1054 12', 'CHE1054 13', 'CHE1054 14', 'CHE1054 15', 'CHE1054 1CLCHD', 'CHE1054 2CLCHD', 'CHE1054 3CLCHD', 'CHE1054 4CLCHD', 'CHE1054 5CLCCNKTHH', 'CHE1054 9', 'CHE1075', 'CHE1079', 'CHE3045', 'CHE3253', 'CHE3254', 'HIS1001 2']","['CHE3254', 'CHE1079', 'CHE3253', 'CHE1075', 'CHE1052', 'CHE1054', 'CHE3045', 'HIS1001']"
19004315,"['BIO2044', 'BIO2045 1', 'BIO2092', 'BIO2201 4', 'BIO2202 3', 'BIO2206 3', 'BIO2208 1', 'BIO3252 2']","['BIO2044', 'BIO2045', 'BIO2206', 'BIO2092', 'BIO2201', 'BIO2208', 'BIO2202', 'BIO3252']"
19004348,"['BIO2044', 'BIO2045 2', 'BIO2092', 'BIO2220 4', 'BIO2223 2', 'BIO2223 TNS', 'BIO2224 TNS', 'BIO2400 1CLCCNS', 'BIO2400 2CLCCNS', 'BIO3252 2', 'BIO3258 2', 'CHE1057 1']","['BIO2224', 'BIO2044', 'BIO2220', 'BIO2045', 'BIO2092', 'BIO2400', 'CHE1057', 'BIO2223', 'BIO3252', 'BIO3258']"
19004370,"['HIS1001 6', 'MAT2403 4CLCMTKHTT', 'MAT2411E 1CLCMTKHTT', 'MAT3500 3CLCMTKHTT']","['HIS1001', 'MAT2411E', 'MAT3500', 'MAT2403']"
19004385,"['PHY1113 5', 'PHY3606', 'PHY3608']","['PHY3608', 'PHY1113', 'PHY3606']"
19004390,"['CHE1075', 'CHE3045', 'CHE3253', 'CHE3254']","['CHE3253', 'CHE3254', 'CHE1075', 'CHE3045']"
19004395,"['BIO2127 1CLCCNS', 'BIO2215E 1CLCCNS', 'BIO2516 2CLCCNS', 'BIO2800 1CLCCNS', 'BIO3302E 1CLCCNS', 'BIO3802E 1CLCCNS', 'CHE1057 2']","['BIO2516', 'BIO2127', 'BIO3802E', 'CHE1057', 'BIO2215E', 'BIO3302E', 'BIO2800']"
19004397,"['BIO2127 1CLCCNS', 'BIO2215E 1CLCCNS', 'BIO2516 1CLCCNS', 'BIO2800 1CLCCNS', 'BIO3302E 1CLCCNS', 'MAT1101 10']","['BIO2516', 'BIO2127', 'MAT1101', 'BIO2215E', 'BIO3302E', 'BIO2800']"
19004404,"['CHE1075', 'CHE1079', 'CHE3045', 'CHE3253', 'CHE3254', 'GEO1050 6']","['GEO1050', 'CHE3254', 'CHE1079', 'CHE3253', 'CHE1075', 'CHE3045']"
19004408,"['BIO2127 1CLCCNS', 'BIO2215E 2CLCCNS', 'BIO2516 1CLCCNS', 'BIO2800 1CLCCNS', 'BIO3302E 3CLCCNS', 'BIO3802E 1CLCCNS']","['BIO2516', 'BIO2127', 'BIO3802E', 'BIO2215E', 'BIO3302E', 'BIO2800']"
19004410,"['BIO2405E QTS', 'BIO3227E QTS', 'BIO3245', 'BIO3246', 'BIO3252E QTS', 'BIO3370E QTS', 'BIO3372E QTS', 'CHE2121 TNH', 'CHE2130 TNH', 'CHE2131 TNH', 'CHE2133 1TNH', 'CHE2133 2TTH']","['BIO3246', 'CHE2131', 'BIO3252E', 'CHE2130', 'CHE2121', 'BIO3370E', 'BIO2405E', 'BIO3245', 'BIO3372E', 'CHE2133', 'BIO3227E']"
19004418,"['MAT2306 2', 'MAT2407 1', 'MAT3347 1']","['MAT2407', 'MAT3347', 'MAT2306']"
19004449,"['BIO2089 TNS', 'BIO2504 TNS', 'BIO2514 1CLCCNS', 'BIO2514 2CLCCNS', 'BIO3257 TNS', 'BIO3377 TNS', 'BIO3701 TNS', 'MAT2411E 1CLCMTKHTT', 'MAT3373E 1CLCMTKHTT', 'MAT3517E 2CLCMTKHTT', 'PHI1002 4']","['BIO2089', 'MAT3373E', 'MAT2411E', 'PHI1002', 'BIO2504', 'BIO2514', 'MAT3517E', 'BIO3377', 'BIO3257', 'BIO3701']"
19004472,"['GEO2320 2', 'GEO3265', 'GEO3269', 'GEO3270', 'GEO3276', 'GEO3293']","['GEO3276', 'GEO3270', 'GEO3265', 'GEO3269', 'GEO3293', 'GEO2320']"
19004477,"['CHE1067 1CLCHD', 'CHE1075E 1CLCHD', 'CHE2030E 1CLCHD', 'CHE3283 1CLCHD', 'GEO1050 6', 'PHI1002 5']","['GEO1050', 'CHE2030E', 'CHE3283', 'CHE1067', 'PHI1002', 'CHE1075E']"
19004486,"['MAT2411E 2CLCMTKHTT', 'MAT3373E 2CLCMTKHTT', 'MAT3533 3CLCMTKHTT', 'MAT3562E 1CLCMTKHTT']","['MAT3373E', 'MAT3533', 'MAT2411E', 'MAT3562E']"
19004492,"['PHY1113 7', 'PHY2302 7', 'PHY3508 2', 'PHY3608']","['PHY2302', 'PHY3508', 'PHY3608', 'PHY1113']"
19004495,"['BIO2127 1CLCCNS', 'BIO2215E 2CLCCNS', 'BIO2516 3CLCCNS', 'BIO2800 2CLCCNS', 'BIO3302E 2CLCCNS', 'BIO3802E 1CLCCNS', 'GEO1050 3']","['GEO1050', 'BIO2516', 'BIO2127', 'BIO3802E', 'BIO2215E', 'BIO3302E', 'BIO2800']"
19004496,"['GEO2320 2', 'GEO3265', 'GEO3269', 'GEO3270', 'GEO3276', 'GEO3293', 'HIS1001 12', 'PHY1103 7', 'PHY1104 11', 'PHY1104 12', 'PHY1104 14', 'PHY1104 3', 'PHY1104 5', 'PHY1104 6', 'PHY1104 7', 'PHY1104 8']","['HIS1001', 'PHY1103', 'GEO3276', 'GEO3270', 'GEO3265', 'PHY1104', 'GEO3269', 'GEO3293', 'GEO2320']"
19004515,"['MAT3373', 'MAT3452 1', 'MAT3525', 'MAT3532 1CLCMTKHTT', 'MAT3532 2CLCMTKHTT', 'MAT3532 3CLCMTKHTT', 'MAT3532 4CLCMTKHTT', 'MAT3539 2', 'MAT3544 1', 'MAT3544 2']","['MAT3544', 'MAT3525', 'MAT3452', 'MAT3539', 'MAT3532', 'MAT3373']"
19004520,"['HIS1001 8', 'PHY3167 1', 'PHY3302']","['HIS1001', 'PHY3167', 'PHY3302']"
19004537,"['CHE1048', 'CHE1084', 'CHE1085 1', 'CHE1085 2', 'CHE1085 3', 'CHE1090', 'GEO1050 1']","['CHE1084', 'CHE1090', 'GEO1050', 'CHE1048', 'CHE1085']"
19004539,"['MAT3373', 'MAT3539 2', 'MAT3544 1', 'MAT3544 2']","['MAT3373', 'MAT3539', 'MAT3544']"
19004565,"['HIS1001 6', 'MAT2311 2TNT', 'MAT2318 1', 'MAT3101 TNT', 'MAT3306', 'MAT3318 2TNT', 'MAT3322 TNT', 'MAT3334', 'MAT3347 2', 'MAT3363 TNT', 'POL1001 3']","['MAT3101', 'MAT3363', 'MAT2311', 'MAT3347', 'POL1001', 'MAT3306', 'MAT3322', 'HIS1001', 'MAT3318', 'MAT2318', 'MAT3334']"
19004568,"['MAT2306 1', 'MAT2407 1', 'MAT3301', 'MAT3306', 'MAT3347 1']","['MAT3301', 'MAT3347', 'MAT2306', 'MAT3306', 'MAT2407']"
19004580,"['EVS3158', 'EVS3159 CLCCNKTMT', 'EVS3232', 'EVS3240 1', 'EVS3240 2', 'EVS3240 3', 'EVS3240 4', 'EVS3240 5', 'EVS3244 2', 'EVS3287', 'EVS3331 1', 'EVS3331 2', 'EVS4073 2', 'PHY1100 12']","['EVS3159', 'EVS4073', 'EVS3244', 'EVS3240', 'PHY1100', 'EVS3232', 'EVS3287', 'EVS3331', 'EVS3158']"
19004591,"['CHE1081 4', 'CHE1084', 'CHE1085 1', 'CHE1085 2', 'CHE1085 3', 'EVS3158', 'EVS3159 CLCCNKTMT', 'EVS3232', 'EVS3240 1', 'EVS3240 2', 'EVS3240 3', 'EVS3240 4', 'EVS3240 5', 'EVS3244 1', 'EVS3287', 'EVS3331 1', 'EVS3331 2', 'EVS4073 2', 'HIS1001 11', 'PHY1100 13', 'PHY2306', 'POL1001 12']","['CHE1084', 'HIS1001', 'EVS3159', 'EVS4073', 'EVS3244', 'PHY2306', 'EVS3240', 'PHY1100', 'POL1001', 'EVS3232', 'EVS3287', 'EVS3331', 'CHE1085', 'EVS3158', 'CHE1081']"
